,id,joined_date,group,gender,country,device,purchase_date,spent,purchase_status,duplicates
0,1000000,2023-01-28,Test_Group,M,CAN,iOS,,,0,False
1,1000001,2023-01-27,Control_Group,M,BRA,Android,,,0,False
2,1000002,2023-02-01,Control_Group,M,FRA,Android,,,0,False
3,1000003,2023-01-25,Test_Group,M,BRA,iOS,,,0,False
4,1000004,2023-02-04,Control_Group,F,DEU,Android,,,0,False
5,1000005,2023-01-26,Test_Group,F,GBR,Android,,,0,False
6,1000006,2023-01-31,Test_Group,M,ESP,Android,,,0,False
7,1000007,2023-01-25,Control_Group,F,BRA,Android,,,0,False
8,1000008,2023-02-05,Control_Group,F,BRA,Android,,,0,False
9,1000009,2023-01-31,Control_Group,,USA,Android,,,0,False
10,1000010,2023-02-01,Test_Group,M,BRA,iOS,,,0,False
11,1000012,2023-01-25,Test_Group,M,USA,Android,,,0,False
12,1000013,2023-01-25,Control_Group,F,GBR,Android,,,0,False
13,1000014,2023-01-28,Control_Group,M,USA,Android,,,0,False
14,1000015,2023-01-29,Control_Group,F,AUS,Android,,,0,False
15,1000016,2023-01-28,Control_Group,F,DEU,iOS,,,0,False
16,1000017,2023-01-26,Test_Group,O,MEX,Android,,,0,False
17,1000018,2023-01-26,Test_Group,M,USA,iOS,,,0,False
18,1000019,2023-01-25,Test_Group,F,MEX,Android,,,0,False
19,1000020,2023-02-01,Control_Group,M,AUS,Android,,,0,False
20,1000021,2023-01-29,Test_Group,M,GBR,Android,,,0,False
21,1000022,2023-01-25,Test_Group,F,DEU,Android,,,0,False
22,1000023,2023-01-29,Test_Group,M,BRA,iOS,,,0,False
23,1000024,2023-01-25,Control_Group,M,CAN,Android,,,0,False
24,1000025,2023-01-25,Control_Group,M,USA,iOS,,,0,False
25,1000026,2023-01-27,Test_Group,F,DEU,Android,,,0,False
26,1000027,2023-01-31,Test_Group,,BRA,iOS,,,0,False
27,1000028,2023-01-28,Control_Group,F,BRA,Android,,,0,False
28,1000029,2023-01-25,Control_Group,M,MEX,Android,,,0,False
29,1000030,2023-01-26,Control_Group,F,FRA,iOS,,,0,False
